  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
development;0.541;0.031;0.002;0.257;0.098;0.006;0.004;0.007;0.019;0.008
joint;0.516;0.009;0.323;0.008;0.013;0.016;0.054;0.003;0.014;0.014
security;0.003;0.55;0;0.052;0.008;0.054;0.075;0.028;0.038;0.087
surveillance;0.251;0.002;0.044;0.028;0.062;0.243;0.055;0.079;0.124;0.002
main;0.038;0.458;0.01;0.083;0.066;0.001;0.018;0.037;0.096;0
Agency;0.178;0.655;0.002;0.011;0.013;0.011;0.002;0.005;0.002;0.04
guard;0.005;0.443;0.316;0.024;0.044;0.002;0.104;0;0.034;0
irregular;0.002;0.033;0.131;0.5;0.068;0.066;0.002;0.019;0.108;0
risk;0.629;0;0.072;0.083;0.002;0.001;0.048;0.006;0.01;0.04
trafficking;0.049;0.022;0.112;0.019;0.054;0.383;0.063;0.074;0.063;0.05
training;0.087;0.176;0.325;0.02;0.022;0.045;0.002;0.014;0.057;0.16
2013;0.248;0.003;0.419;0.268;0.032;0;0.004;0;0;0
level;0.088;0.029;0.004;0.29;0.003;0.03;0.2;0.093;0.034;0.005
fundamental;0.061;0.327;0.026;0.068;0.137;0.072;0.069;0.149;0.013;0.055
rights;0.001;0.361;0.038;0.012;0.255;0.005;0.168;0.074;0.059;0.003
routes;0.21;0.593;0.021;0.017;0.004;0.011;0.014;0.066;0.005;0.009
human;0.393;0.031;0.149;0.07;0.031;0.191;0.008;0.021;0.016;0.001
2011;0.159;0.038;0.129;0.497;0.022;0.003;0.069;0.001;0.05;0.006
Laitinen;0.377;0.001;0.233;0.046;0.003;0.118;0.094;0.01;0.03;0.081

