"new";0.06171;0.02791;-0.00815;0.00072;-0.03572;0.02446;-0.13666;0.41847;0.15451;0.6371;0.09422;0.3363;-0.02555;0.02914;0.04011;0.0864;-0.00793;0.00404;-0.02313;0.03573
"most";0.01547;0.00137;-0.33109;0.92707;-0.18974;0.53751;0.08918;0.13876;-0.04673;0.04538;-0.0335;0.0331;-0.04995;0.08672;-0.05601;0.13123;-0.07729;0.29904;0.03716;0.07178
"operational";-0.24404;0.67313;-0.01855;0.00576;0.07637;0.17243;0.11086;0.42462;0.13697;0.77198;-0.0272;0.04322;0.00435;0.0013;0.12067;1.20616;-0.01416;0.01989;0.00228;0.00053
"well";-0.18654;0.34852;-0.02316;0.00796;0.03933;0.04052;-0.0161;0.00794;-0.06004;0.13144;-0.03841;0.07636;0.0055;0.00184;-0.02633;0.05088;-0.06097;0.32655;0.00231;0.00049
"Guard";0.46121;2.67794;0.53135;5.26707;-0.0165;0.00897;-0.04132;0.06571;-0.00786;0.00283;-0.02194;0.03131;-0.07388;0.41859;-0.00714;0.00471;0.09427;0.9812;0.05917;0.40155
"coast";0.26583;0.39934;0.19209;0.30901;0.09444;0.13187;-0.10913;0.20572;-0.13208;0.35896;0.06082;0.10804;-0.21651;1.61352;0.07948;0.26165;0.07527;0.28082;0.22705;2.65413
"illegal";0.09886;0.11539;0.10856;0.20619;0.11586;0.41461;0.02458;0.02181;0.23039;2.28162;0.02738;0.04573;-0.03461;0.08614;-0.08368;0.60589;-0.04901;0.2487;-0.05928;0.37798
"migratory";0.27432;0.67368;0.26623;0.9403;-0.15877;0.59033;0.19446;1.03481;0.01426;0.00663;0.04052;0.07596;-0.13073;0.93194;0.2217;3.22465;-0.03884;0.11842;0.02876;0.06744
"period";0.33646;0.55108;-0.0113;0.00092;0.03045;0.01181;0.02529;0.00952;0.08282;0.12157;0.01956;0.00962;0.06275;0.11673;0.08834;0.27837;0.07525;0.24173;0.03044;0.04109
"I";0.05348;0.01392;-0.18524;0.24752;0.25319;0.81635;0.00896;0.0012;0.28405;1.43002;0.28271;2.01079;-0.01797;0.00957;-0.09674;0.33385;-0.06991;0.20869;-0.00239;0.00025
"agency";0.19737;0.2354;0.12918;0.14943;0.04212;0.02805;-0.10154;0.19045;0.07286;0.1168;0.27191;2.30904;-0.12375;0.56362;-0.05848;0.15144;-0.09527;0.48106;0.06539;0.23538
